"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Orlando, FL",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,1995,1995,1937.5,1995,1995,1998,2025,2100,2085,2050,2000,2000,2037.5,2100,2097.5,2100,2150,2100,2100,2100,2100,2199.5,2249,2250,2150,2125,2250,2295,2200,2275,2250,2277.5,2295,2300,2400,2300,2350,2390.5,2315,2300,2325,2395,2450,2450,2400,2400,2400,2400,2395,2300,2390
"Cleveland, OH",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1100,950,1000,1000,1125,1100,1100,1145,1100,1050,1100,1000,975,900,995,1100,1200,1100,1100,1075,1100,1012.5,1075,1100,1100,1050
"Kansas City, MO",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1125,1075,1050,1197,1150,1050,1050,1000,1000,1100,1095,1025,1197,1145,1097.5,1100,1100,1197,1150,1150,1195,1200,1195,1195,1100,1100,1100,1100
"Las Vegas, NV",23,,,,,,1925,2198,1995,2200,2100,2147.5,1900,1900,1950,1995,1850,1850,1895,1850,1850,1895,1950,1975,1900,1850,1880,1795,1700,1750,1797.5,1795,1795,1700,1700,1695,1695,1695,1700,1700,1700,1700,1775,1795,1800,1800,1750,1747,1700,1750,1750,1750,1800,1795,1799.5,1800,1800,1795,1795,1800,1800,1800,1800,1849,1850,1995,1895,1895,1900,1850,1850,1895,1900,1900,1950,1945,1950,2000,1895,1995,1950,1932.5,1997.5,1895,1900,1995,2000,2100,2195,2100,2085,2025,2000,2000,2045,2087.5,2100,2095,2195,2295,2250,2250,2200,2200,2200,2200,2200,2244.5,2300
"San Jose, CA",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,5800,5895,5717.5,5500,5500,5500,5000,5000,4995,4742.5,4737.5,4800,5200,5797.5,5950,5695,5500,5200,5275,5072.5,4925,5200
"Austin, TX",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3895,3725,3500,3500,3450,3500,3525,3500,3295,3425,4000,4000,3837.5,3700,3800
"Virginia Beach, VA",26,,,,,,,,,,,2195,2100,2050,2195,2175,2200,2195,2000,2100,2100,2000,2000,2000,2000,2000,1997.5,2200,2195,2195,2195,2047.5,1995,1850,1895,1900,1795,1800,1800,1997.5,2100,2066.5,2083,1995,1992.5,1995,1997,1995,1925,1900,1950,1995,2000,2125,2100,2100,2000,2000,2000,2100,1990,1900,1900,1950,2000,2100,2000,1900,1900,1950,1962.5,1925,1900,1900,1975,1900,2100,1997.5,2097.5,2000,1995,1997.5,1950,2000,2000,1950,1950,2000,2195,2200,2195,2075,1995,1950,1895,1900,1900,1950,1950,1950,2145,2200,2172.5,2050,2037.5,2050,2100,1995,2000
"Providence, RI",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2400,2250,2000,2000,1900,1925,2100,2100,2000,2150,2200,2500,2250,2297.5,2000,2000,1875,1850,2050,2100,2200,2250,2100
"Milwaukee, WI",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1100,1097.5,1250,1275,1200,1112.5,1045,1097.5,1012.5,1095,1095,975,1050,1085,1050,1147.5,1100,1095,1050,1025,1050,1100,1067.5,1100
"Jacksonville, FL",29,,,,,,,,,,,,1900,1924.5,1895,2200,1995,2000,1999,1995,1999,2000,1950,1995,1950,1825,1980,1970,1997,1995,1900,1895,1800,1900,1872.5,1850,1796,1698.5,1800,1850,1885,1912.5,1995,1925,1900,1900,1900,1900,1885,1810,1812.5,1795,1991,2000,2000,1995,1950,1853.5,1897,1845,1950,1950,1925,1950,1925,1950,1900,1900,1850,1897.5,1895,1995,1995,1930,1995,1990,2100,1925,2000,1950,1995,1897.5,1897.5,1999.5,2045,1995,1995,2200,2100,2195,2195,2295,2195,2200,2240,2172.5,2125,1995,1995,1997,2000,2100,2100,2000,1999,2000,1950,1795,1900
"Hartford, CT",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1150,1250,1300,1300,1100,1100,1100,1100,1100,1100,1100,1150,1100,1100,1100,1100,1150,1100,1150,1200,1200,1162.5,1150,1100,1100,1000,1000,1050,1200,1200,1200,1200,1200,1190,1200,1150,1150,1100,1125,1150,1100,1175,1150,1175,1200,1150,1250,1250,1275,1275,1275,1300,1350,1300,1300,1350,1285,1275,1267.5,1272.5,1300,1300,1300,1300,1300,1297.5,1300,1300,1300,1300
"Richmond, VA",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1795,1695,1695,1650,1750,1725,1700,1760,1712.5,1750,1525,1722.5,1772.5,1822.5,1737.5,1750,1800,1800,1850,1825,1797.5,1772.5,1800,1750,1712.5,1895,1850,1600,1800,1850,1975,1950,1800,1800,1899,1900,1772.5,1795,1787.5,1787.5,1825,1750,1900,2100,1830,1825,1800,1875,1750,1750,2000,1925,2100,2000,2172.5,2100,1995,1925,1975,1975,2000,2100,2100,2000,2195,2190,2100,2000,2000,2100,2047.5,2100,2100
"Buffalo, NY",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,800,700,750,762.5,772.5,750,750,750,825,800,800,890,850,860,850,800,850,850,840,900,895,950,900,992.5,912.5,875,900,900,900,900,910,950,950,950,975,1000,950,975,950,950,950,950,950,1000,1000,1000,1050,1000,1000,1000,975,950,925,950
"Salt Lake City, UT",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1695,1700,1700,1795,1797.5,1802.5,1895,1930,1995,1899.5,1862.5,1837,1800,1900,1912.5,1937.5,1925,1995,1995,1995,1947.5,1995,1995,2000,2000,2095,1995
"Rochester, NY",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,975,1050,1075,1112.5,995,962.5,925,950,1050,1100,1200,1200,1250,1250,1200,1250,1200,1095,1099.5,1000
"Urban Honolulu, HI",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3450,3250,3425,3450,3200,3400,3150,3100,3100,2900,2800,2800,2742.5,2550,2700,3075,3000,3212.5,3300,3200,2975,3000,3250,2922,3050,3000,2900,2995,2800,2500,2600,2900,2850,2550,2677,3000,2880,3000,2700,2700,2650,2682,2675,2675,2800,2800,2700,2664,2550,2697.5,2600,2597.5,2547.5,2500,2600,2650,2700,2667,2550,2500,2500,2500,2500,2600,2600,2682.5
"Worcester, MA",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1325,1400,1250,1100,1125,1295,1300,1350,1350,1350,1350,1400,1275,1162.5,1250,1300,1300,1300,1450,1450,1450,1450,1395,1400,1395,1400,1375,1450,1450,1500,1500
"Albany, NY",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230,1302.5,1302.5,1325,1225,1200,1200,1100,1100,1200,1185,1100,1145,1150,1100,1200,1200,1100,1100,1150,1295,1200,1095,1120,1260,1250,1250,1395,1450,1425,1390,1312.5,1250,1375,1300,1175,1300,1287.5,1262,1312.5,1345,1295,1200,1200,1200,1190,1195,1200,1200,1225,1337.5,1400,1350,1295,1287.5,1300,1350,1250,1350,1440,1500,1465,1495
"New Haven, CT",38,975,885,950,950,962.5,1000,1100,1050,1025,985,975,975,950,975,1050,1012.5,985,1000,1080,1100,1100,1100,1025,1012.5,1037.5,1012.5,1000,1025,1112.5,1100,1100,1100,1050,1100,1100,1037.5,1000,1072.5,1050,1050,1050,1075,1100,1050,1070,1050,1012.5,1057.5,1050,1050,1100,1025,1100,1125,1100,1065,1085,1050,1100,1150,1150,1150,1112.5,1100,1100,1112.5,1125,1100,1100,1100,1100,1150,1100,1150,1200,1100,1150,1100,1200,1100,1100,1100,1125,1150,1200,1250,1200,1250,1250,1250,1262.5,1250,1250,1245,1200,1200,1300,1300,1300,1350,1395,1397,1399,1287.5,1200,1250,1300,1262.5
"Ventura, CA",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,3950,4197.5,4000,3850,3900,4200,4172.5,3950,3775,3862.5,3825,3875,4000,3995,4000,4150,4100,4344,4775,4500,4000,4175,4362.5,4275
"Columbia, SC",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1700,1697.5,1612.5,1662.5,1712.5,1695,1700,1695,1695,1695,1600,1637.5,1650,1700,1700,1725,1800,1800,1712.5,1895
"Stockton, CA",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1700,1620,1795,1675,1662.5,1672.5,1795,1800,1832,1850,1922.5,1745,1750,1872,1650,1650,1695,1672.5,1697.5,1700,1950,1995,1950,1847.5,1850,2150,1950,2000,2300,2350,2197.5,1950,2200,2325,2297.5,2250,2275,2350,2397.5,2400,2250,2250,2125,2200,2300,2495,2495,2500,2375,2300,2400,2430,2385,2300,2400,2450,2250
"Charleston, SC",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2585,2600,2950,2750,2400,2400,2495,2100,2250,2497.5,2395,2397.5,2600,2600,2800,2600,2625,2600,2900,2800,2700,2500,2600,2700,3050
"Colorado Springs, CO",43,,,,,,,,,,,,,,,1800,1700,1737.5,1600,1600,1600,1599,1662.5,1650,1625,1500,1695,1900,1795,1695,1650,1650,1647.5,1650,1600,1650,1675,1650,1695,1750,1700,1650,1600,1600,1675,1600,1600,1650,1650,1650,1650,1695,1795,1775,1795,1800,1750,1725,1695,1700,1700,1750,1775,1850,1895,1895,1800,1895,1850,1800,1750,1749,1750,1672.5,1772.5,1800,1900,1800,1895,1895,1749,1800,1850,1800,1950,1950,1950,2095,2095,2100,2000,2000,2000,1997.5,1950,1895,1950,2125,2195,2195,2100,2100,2200,2150,2097,2095,1999,2100,2195
"Wichita, KS",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,1250,1372.5,1297.5,1350,1250,1350,1315,1350,1350,1295,1212.5,1200,1200,1162.5,1250,1250,1225,1250,1205,1337.5,1350,1200,1200,1150,1250,1200,1200,1200,1200
"Ogden, UT",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,1450,1595,1632.5,1672.5,1650,1725,1750,1650,1550,1612.5,1572.5,1500,1622.5,1695,1720,1700,1700,1712.5,1725,1650,1645,1595,1625,1695
"Augusta, GA",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1797.5,1737.5,1725,1750,1725,1650,1650,1695,1700,1700,1750,1697.5,1700,1695,1750,1800,1800,1772.5,1795,1792.5,1800,1800,1800
"Spokane, WA",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.5,1200,1300,1245,1225,1245,1350,1150,1200,1250,1250,1195,1132.5,1310,1450,1500,1595,1600,1525,1350,1300,1362.5,1500
"Anchorage, AK",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537.5,1575,1575,1650,1795,1697.5,1700,1595,1497.5,1495,1600,1595,1700,1697.5,1650,1600,1675,1800,1850,1875,1800,1775,1795,1700,1650
"Bloomington, IN",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,3000,2900,2825,2950,2900,3000,3450,3200,2825,3000,3000,3000,2800,3100,3000,2950,3000,3335,3412,3225,3212.5,3200,3200,3287.5
