"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Pittsburgh, PA",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1827.5,1612.5,1750,1700,1825,1745,1700,1800,1600,1372.5,1395,1500,1495,1347.5,1497,1545,1795,1750,1600,1400,1299.5,1300,1500,1500,1495,1500,1670,1500,1500,1550,1499,1500,1374.5,1500,1500,1450,1500,1492.5,1495,1495,1499.5,1500,1350,1200,1250,1400,1400,1360,1450,1500,1400,1425,1400,1400,1300,1250,1450,1495,1500,1500
"Portland, OR",22,,,,,,,,,,,,,,,,1597.5,1695,1672.5,1650,1600,1600,1672.5,1600,1595,1495,1600,1700,1695,1695,1695,1695,1595,1650,1595,1595,1595,1597.5,1695,1650,1650,1750,1795,1795,1795,1795,1795,1745,1700,1700,1700,1750,1795,1795,1895,1900,1895,1800,1800,1800,1850,1850,1900,1950,1995,1997.5,1995,2099,2095,1995,1995,1995,1995,1975,1995,2195,2050,2195,2095,2195,2195,2000,1995,1975,2100,2112.5,2195,2295,2350,2390,2300,2295,2200,2195,2195,2195,2195,2195,2295,2250,2350,2300,2300,2295,2295,2195,2195,2195,2195
"Charlotte, NC",23,,1550,1525,1550,1500,1500,1525,1595,1492.5,1450,1400,1425,1495,1495,1495,1500,1500,1500,1500,1500,1495,1450,1450,1400,1450,1495,1500,1597.5,1600,1600,1500,1500,1500,1495,1450,1437.5,1425,1500,1500,1500,1500,1500,1495,1475,1400,1400,1400,1400,1400,1415,1425,1495,1500,1575,1550,1525,1500,1495,1495,1500,1500,1550,1595,1595,1595,1587.5,1595,1595,1582.5,1587.5,1595,1600,1600,1595,1600,1600,1595,1599,1600,1600,1595,1599,1500,1650,1695,1697,1727,1725,1725,1750,1725,1700,1680,1675,1650,1695,1695,1725,1750,1750,1790,1750,1750,1700,1695,1695,1695,1695
"Sacramento, CA",24,,,,,,,,,,,,,,,,,1595,1595,1595,1595,1595,1575,1525,1500,1495,1495,1500,1550,1595,1595,1550,1595,1595,1550,1550,1575,1535.5,1550,1595,1595,1595,1599,1595,1595,1625,1600,1595,1600,1600,1600,1600,1695,1695,1695,1650,1700,1695,1695,1700,1695,1692.5,1695,1700,1750,1750,1795,1795,1795,1800,1795,1800,1800,1800,1797.5,1835,1850,1950,1850,1825,1850,1825,1800,1795,1950,1925,1965.5,2085,2050,2099,2097.5,2100,2100,2097,2098,2095,2095,2150,2195,2200,2250,2250,2250,2200,2195,2145,2150,2195,2150
"San Antonio, TX",25,,,,,,,,,,1400,1425,1450,1395,1395,1400,1400,1403.5,1400,1400,1400,1400,1400,1400,1395,1400,1475,1451,1495,1500,1495,1450,1407,1407,1475,1395,1450,1400,1475,1495,1500,1500,1500,1495,1450,1442,1400,1400,1400,1400,1400,1425,1500,1500,1500,1500,1495,1475,1450,1495,1495,1500,1500,1500,1555,1595,1600,1595,1575,1595,1595,1550,1550,1595,1600,1600,1595,1600,1650,1600,1599,1595,1550,1595,1600,1650,1650,1700,1700,1695,1700,1695,1695,1650,1650,1600,1649.5,1650,1650,1695,1695,1700,1700,1695,1650,1685,1695,1650,1695
"Orlando, FL",26,,1497.5,1450,1495,1395,1450,1500,1550,1495,1450,1400,1350,1350,1400,1400,1499,1495,1495,1495,1450,1400,1400,1395,1395,1395,1450,1450,1495,1500,1575,1550,1500,1500,1500,1450,1495,1500,1550,1595,1595,1600,1600,1595,1645,1600,1600,1600,1595,1595,1595,1595,1695,1700,1700,1600,1609.5,1600,1595,1595,1595,1625,1650,1650,1695,1700,1700,1725,1695,1650,1695,1695,1700,1700,1745,1700,1750,1750,1725,1743.5,1767,1750,1700,1705,1795,1795,1795,1836.5,1895,1850,1875,1850,1850,1850,1850,1850,1850,1850,1895,1920,1950,1950,1950,1920,1900,1900,1925,1900,1900
"Cincinnati, OH",27,,,,,,,,,,,,,1350,1550,1675,1700,1690,1697.5,1647.5,1600,1595,1597.5,1500,1550,1600,1672.5,1395,1400,1550,1472.5,1300,1297.5,1300,1450,1295,1350,1400,1495,1450,1372.5,1395,1475,1500,1575,1575,1500,1600,1550,1500,1500,1500,1595,1600,1600,1595,1595,1600,1595,1575,1595,1600,1600,1600,1625,1650,1600,1650,1597,1500,1550,1500,1495,1500,1595,1595,1600,1695,1700,1650,1595,1600,1600,1550,1600,1650,1600,1600,1650,1650,1675,1650,1600,1600,1650,1645,1600,1650,1695,1750,1695,1725,1750,1795,1695,1750,1750,1750,1700
"Cleveland, OH",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1025,1025,1050,1050,1000,1100,1100,1150,1100,1125,1100,1175,1100,1100,1095,1025,1100
"Kansas City, MO",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599.5,1550,1599,1625,1595,1585,1500,1450,1407.5,1500,1500,1500,1600,1600,1650,1500,1525,1595,1500,1595,1550,1595,1595,1600,1600,1600,1600,1550,1550,1590,1500,1500,1500,1545,1600,1650,1660,1695,1650,1595,1600,1575,1595,1595,1500
"Las Vegas, NV",30,,1625,1500,1512.5,1550,1500,1595,1595,1695,1625,1612.5,1495,1450,1400,1400,1452.5,1425,1400,1400,1400,1395,1375,1350,1395,1350,1395,1395,1350,1375,1350,1350,1350,1300,1300,1300,1300,1300,1350,1350,1350,1345,1350,1375,1395,1395,1379,1379,1350,1350,1350,1350,1395,1395,1395,1395,1398.5,1395,1395,1395,1395,1400,1400,1450,1450,1450,1495,1495,1450,1450,1450,1400,1450,1450,1500,1500,1498.5,1550,1495,1495,1450,1450,1500,1450,1495,1545,1575,1595,1595,1600,1600,1600,1600,1595,1595,1600,1600,1622.5,1675,1695,1675,1665,1650,1695,1675,1695,1695,1700,1700
